Tipo,Slot,Grupo,Ruta,Nombre,Main Algorithm,Alternative Algorithm,Alternative Algorithm 2,Target Slot,Set Up
Basic Algorithms,Front Right,Pieces In Slot,F2L38_Front Right.png,F2L38,(R U' R' U') R U (R' U2 R) U' R',(R U R' U') (R U2 R') (U' R U R'),,,(R U R') U2 (R U' R' U) (R U R')
Basic Algorithms,Front Right,Pieces In Slot,F2L39_Front Right.png,F2L39,(R U' R' U) (R U2 R') (U R U' R'),R U2 (R U R' U) R U2 R2,,,(R U R' U') (R U2 R') (U' R U R')
Basic Algorithms,Front Right,Pieces In Slot,F2L40_Front Right.png,F2L40,(r U' r') U2 (r U r') (R U R'),F' (L' U2 L) F (R U R'),,,(R U' R') (r U' r') U2 (r U r')
Basic Algorithms,Front Right,Pieces In Slot,F2L41_Front Right.png,F2L41,(R U' R') (r U' r') U2 (r U r'),(R U' R') F' (L' U2 L) F,,,(r U' r') U2 (r U r') (R U R')
Basic Algorithms,Front Right,Pieces In Slot,F2L42_Front Right.png,F2L42,It's ready,,,,It's ready
Basic Algorithms,Front Left,Free Pairs,F2L1_Front Left.png,F2L1,(F' r U r'),(F' L F L'),,,(r U' r') F
Basic Algorithms,Front Left,Free Pairs,F2L2_Front Left.png,F2L2,(U' L' U L),(L F' L' F),,,(L' U' L U)
Basic Algorithms,Front Left,Free Pairs,F2L3_Front Left.png,F2L3,(L' U' L),U2 R' F (R U R' F') R,,,(L' U L)
Basic Algorithms,Front Left,Free Pairs,F2L4_Front Left.png,F2L4,(F U F'),y (L U L'),,,F U' F'
Basic Algorithms,Front Left,Disconnected Pairs,F2L5_Front Left.png,F2L5,U R' F (r U' r') F' R,U2 F (R U R') U2 F',,,R' F (r U r') F' R U'
Basic Algorithms,Front Left,Disconnected Pairs,F2L6_Front Left.png,F2L6,(U L' U' L) U2 (L' U L),F2 (R U R' U') F2,,,(L' U' L) U2 (L' U L U')
Basic Algorithms,Front Left,Disconnected Pairs,F2L7_Front Left.png,F2L7,F U (R U2 R') U F',d' L U2 (L' U2 L) U' L',,,F U' (R U2 R' U') F'
Basic Algorithms,Front Left,Disconnected Pairs,F2L8_Front Left.png,F2L8,U (L' U2 L U) (L' U2 L),U r' F2 r U2 r' F r,,,(L' U2 L) U' (L' U2 L) U'
Basic Algorithms,Front Left,Disconnected Pairs,F2L9_Front Left.png,F2L9,U (L' U' L U') (L' U' L),F2 (U R U' R') F2,,,(L' U L U) (L' U L U')
Basic Algorithms,Front Left,Disconnected Pairs,F2L10_Front Left.png,F2L10,U (L' U L U') (F U F'),F (U' R U R') U2 F',,,F U' F' U (L' U' L U')
Basic Algorithms,Front Left,Disconnected Pairs,F2L11_Front Left.png,F2L11,U L' U L2 F' L' F (L' U L),y U L U2 (L' U L U') L',,,(L' U' L) F' L F L2 U' L U'
